ensembl_gene	uniprotkb
ENSG00000164398	Q9UKU0
ENSG00000166743	Q08AH1
ENSG00000075624	P60709
ENSG00000184009	P63261
ENSG00000117148	Q9H568
ENSG00000181786	Q8TC94
ENSG00000188493	Q5BKX5
ENSG00000072110	P12814
ENSG00000077522	P35609
ENSG00000248746	Q08043
ENSG00000130402	O43707
ENSG00000243989	Q03154
ENSG00000108381	P45381
ENSG00000132744	Q96HD9
ENSG00000148848	O43184
ENSG00000143537	Q13444
ENSG00000139985	Q9UKJ8
ENSG00000042980	Q9UKQ2
ENSG00000184160	P18825
ENSG00000197140	Q8TC27
ENSG00000149451	Q9BZ11
ENSG00000168803	Q6DHV7
ENSG00000105963	O75689
ENSG00000018510	O00116
ENSG00000189007	Q7Z6V5
ENSG00000129467	Q8NFM4
ENSG00000087274	P35611
ENSG00000181092	Q15848
ENSG00000117155	Q9Y2D8
ENSG00000148671	Q15847
ENSG00000101544	Q6IQ32
ENSG00000149313	Q9NRN7
ENSG00000144843	P54922
ENSG00000116863	Q9NX46
ENSG00000151475	Q9H0C2
ENSG00000111863	Q96IZ2
ENSG00000139154	Q6ZN18
ENSG00000181915	Q96SZ5
ENSG00000181026	Q8WTP8
ENSG00000078403	P55197
ENSG00000275023	P55198
ENSG00000157510	Q8TED9
ENSG00000171843	P42568
ENSG00000172493	P51825
ENSG00000072364	Q9UHB7
ENSG00000135537	Q8WV93
ENSG00000139133	Q5BKT4
ENSG00000175548	Q5I7T1
ENSG00000157985	Q9UPQ3
ENSG00000164252	Q8N302
ENSG00000106541	O95994
ENSG00000173467	Q8TD06
ENSG00000020181	Q96PE1
ENSG00000135298	O60242
ENSG00000111452	Q6QNK2
ENSG00000127507	Q9UHX3
ENSG00000153294	Q8IZF3
ENSG00000069122	Q8IZF2
ENSG00000182885	Q86Y34
ENSG00000144820	Q96K78
ENSG00000188157	O00468
ENSG00000172482	P21549
ENSG00000185567	Q8IVF2
ENSG00000124942	Q09666
ENSG00000169877	Q9NZD4
ENSG00000186063	Q96BJ3
ENSG00000126878	Q9BQI0
ENSG00000146416	Q9NVV5
ENSG00000163568	O14862
ENSG00000164022	Q12904
ENSG00000106305	Q13155
ENSG00000129221	Q9NZN9
ENSG00000116922	Q9NX04
ENSG00000129474	Q96IF1
ENSG00000197976	Q02040
ENSG00000227471	C9JRZ8
ENSG00000187134	Q04828
ENSG00000186471	Q86UN6
ENSG00000118507	O43687
ENSG00000231824	P0CW23
ENSG00000179841	P24588
ENSG00000127914	Q99996
ENSG00000166452	Q9NQ31
ENSG00000175756	Q9NWT8
ENSG00000135334	Q53H80
ENSG00000106948	Q7Z591
ENSG00000162641	Q5T1N1
ENSG00000011243	Q9ULX6
ENSG00000142208	P31749
ENSG00000105221	P31751
ENSG00000166971	Q9H8T0
ENSG00000152219	Q8N8R7
ENSG00000144908	O75891
ENSG00000178038	Q60I27
ENSG00000108602	P30838
ENSG00000006534	P43353
ENSG00000132965	P20292
ENSG00000164904	P49419
ENSG00000149925	P04075
ENSG00000109107	P09972
ENSG00000085662	P15121
ENSG00000101901	Q9NP73
ENSG00000214160	Q92685
ENSG00000159063	Q9BVK2
ENSG00000189046	Q6NS38
ENSG00000160993	Q9NXW9
ENSG00000125652	Q9BT30
ENSG00000137760	Q96BT7
ENSG00000187546	Q6ZNB7
ENSG00000180318	Q15699
ENSG00000052850	Q9H161
ENSG00000178522	Q9NP70
ENSG00000099721	Q99218
ENSG00000181754	Q86WK6
ENSG00000139211	Q86SJ2
ENSG00000135409	Q16671
ENSG00000101935	Q9Y4X0
ENSG00000114019	Q9Y2J4
ENSG00000126016	Q4VCS5
ENSG00000116748	P23109
ENSG00000116337	Q01433
ENSG00000133805	Q01432
ENSG00000078053	P49418
ENSG00000002549	P28838
ENSG00000163956	P30533
ENSG00000187689	Q6UX39
ENSG00000076513	Q8IZ07
ENSG00000118454	Q8N6S4
ENSG00000172932	Q6ZTN6
ENSG00000136938	Q92688
ENSG00000135976	A6QL64
ENSG00000196912	Q8N2N9
ENSG00000176248	Q9UJX6
ENSG00000166140	Q96K21
ENSG00000120937	P16860
ENSG00000175206	P01160
ENSG00000029534	P16157
ENSG00000151150	Q12955
ENSG00000131503	Q8IWZ3
ENSG00000170209	Q8NFD2
ENSG00000103254	Q9BQD7
ENSG00000148677	Q15327
ENSG00000165887	Q9GZV1
ENSG00000165138	Q68DC2
ENSG00000126457	Q99873
ENSG00000185238	O60678
ENSG00000100462	O14744
ENSG00000132600	Q9NVM4
ENSG00000111218	Q9NR22
ENSG00000185101	A1A5B4
ENSG00000088448	Q9NXR5
ENSG00000167522	Q6UB99
ENSG00000101745	Q6UB98
ENSG00000163126	Q86SG2
ENSG00000206560	O15084
ENSG00000154065	Q8N6D5
ENSG00000186352	Q7Z713
ENSG00000154945	Q6AI12
ENSG00000183831	Q5TZF3
ENSG00000186106	Q86W74
ENSG00000168876	Q8WVL7
ENSG00000151458	Q9ULJ7
ENSG00000144031	Q8N9V6
ENSG00000100124	Q6NXT1
ENSG00000164512	Q3KP44
ENSG00000164331	Q9H9E1
ENSG00000064999	Q92625
ENSG00000185046	Q7Z6G8
ENSG00000175311	Q8N8V4
ENSG00000109511	Q9UJ72
ENSG00000122359	P50995
ENSG00000135046	P04083
ENSG00000196975	P09525
ENSG00000164111	P08758
ENSG00000197043	P08133
ENSG00000136250	P28039
ENSG00000002726	P19801
ENSG00000131480	O75106
ENSG00000131471	Q16853
ENSG00000069535	P27338
ENSG00000065609	O60641
ENSG00000138660	Q63HQ0
ENSG00000100280	Q10567
ENSG00000166747	O43747
ENSG00000213983	O75843
ENSG00000072958	Q9BXS5
ENSG00000106367	P61966
ENSG00000182287	P56377
ENSG00000152056	Q96PC3
ENSG00000183020	O94973
ENSG00000137203	P05549
ENSG00000006125	P63010
ENSG00000008197	Q7Z6R9
ENSG00000161203	Q96CW1
ENSG00000042753	P53680
ENSG00000185009	Q9Y2T2
ENSG00000070718	P53677
ENSG00000167302	Q96N21
ENSG00000164978	P50583
ENSG00000134262	Q9Y6B7
ENSG00000221838	O00189
ENSG00000242802	O43299
ENSG00000034053	Q99767
ENSG00000166313	O00213
ENSG00000062725	Q92624
ENSG00000141552	Q9NYG5
ENSG00000129055	Q9BS18
ENSG00000110200	P60006
ENSG00000166295	Q96DE5
ENSG00000198768	Q8NCL9
ENSG00000169188	Q9UBZ4
ENSG00000117362	Q96BI3
ENSG00000138613	Q8WW43
ENSG00000166181	Q9BZZ5
ENSG00000134817	P35414
ENSG00000101474	Q9HDC9
ENSG00000118137	P02647
ENSG00000158874	P02652
ENSG00000110244	P06727
ENSG00000110243	Q6Q788
ENSG00000130208	P02654
ENSG00000234906	P02655
ENSG00000110245	P02656
ENSG00000267467	P55056
ENSG00000189058	P05090
ENSG00000128335	Q9BQE5
ENSG00000128284	O95236
ENSG00000100336	Q9BPW4
ENSG00000221963	Q9BWW8
ENSG00000141682	Q13794
ENSG00000137074	Q7Z2E3
ENSG00000198931	P07741
ENSG00000185176	A6NM10
ENSG00000143595	Q96PS8
ENSG00000240583	P29972
ENSG00000167580	P41181
ENSG00000165272	Q92482
ENSG00000171885	P55087
ENSG00000086159	Q13520
ENSG00000165269	O14520
ENSG00000103375	O94778
ENSG00000103569	O43315
ENSG00000169379	Q3SXY8
ENSG00000102931	Q9Y2Y0
ENSG00000170540	Q15041
ENSG00000182196	Q66PJ3
ENSG00000177917	Q8N6S5
ENSG00000078061	P10398
ENSG00000138085	Q6UW56
ENSG00000113391	Q8WUF8
ENSG00000176261	Q8IWT0
ENSG00000198576	Q7LC44
ENSG00000109321	P15514
ENSG00000134287	P61204
ENSG00000168374	P18085
ENSG00000004059	P84085
ENSG00000165527	P62330
ENSG00000101199	Q8N6T3
ENSG00000242247	Q9NP61
ENSG00000164144	P53367
ENSG00000132254	P53365
ENSG00000214944	Q8N1W1
ENSG00000236699	Q9NXL2
ENSG00000165801	Q8TER5
ENSG00000116584	Q92974
ENSG00000163947	Q9NR81
ENSG00000136002	Q9NR80
ENSG00000050327	Q12774
ENSG00000129675	Q15052
ENSG00000173848	Q7Z628
ENSG00000131089	O43307
ENSG00000104728	O15013
ENSG00000198844	O94989
ENSG00000130762	Q5VV41
ENSG00000110237	Q96PE2
ENSG00000142632	Q8IW93
ENSG00000157978	Q5SW96
ENSG00000177479	O95376
ENSG00000116017	Q99856
ENSG00000205143	A6NKF2
ENSG00000054267	Q4LE39
ENSG00000196843	Q03989
ENSG00000164080	Q9Y4B4
ENSG00000152242	Q96B23
ENSG00000053371	O43488
ENSG00000162482	O95154
ENSG00000179674	Q8N4G2
ENSG00000185305	Q9NXU5
ENSG00000213465	P36404
ENSG00000138175	P36405
ENSG00000122644	P40617
ENSG00000165997	Q96KC2
ENSG00000143862	Q96BM9
ENSG00000134108	Q9NVJ2
ENSG00000126522	P04424
ENSG00000170632	Q8N2F6
ENSG00000157343	Q5T9G4
ENSG00000104442	Q9NVT9
ENSG00000140691	Q96C12
ENSG00000125449	Q9H6L4
ENSG00000114098	Q8IUR7
ENSG00000135931	Q7Z3E5
ENSG00000146476	Q9H993
ENSG00000126947	Q9P291
ENSG00000102401	Q9UH62
ENSG00000125962	Q6P1M9
ENSG00000172379	Q9HBZ2
ENSG00000187051	Q86WX3
ENSG00000131966	Q9NZ32
ENSG00000128989	P56211
ENSG00000136950	Q9BPX5
ENSG00000101442	Q9H9F9
ENSG00000111229	O15145
ENSG00000241553	P59998
ENSG00000242498	Q7Z6K5
ENSG00000137486	P49407
ENSG00000141480	P32121
ENSG00000120500	P36575
ENSG00000197070	Q8N5I2
ENSG00000105643	Q8TBH0
ENSG00000113369	Q96B67
ENSG00000130561	P10523
ENSG00000100299	P15289
ENSG00000173409	Q9H2C2
ENSG00000156006	P11245
ENSG00000088280	Q8TDY4
ENSG00000146926	Q8WXI3
ENSG00000198881	Q8WXK4
ENSG00000196372	Q8WXK3
ENSG00000146809	Q8WXK1
ENSG00000115239	Q9Y575
ENSG00000148331	Q9NWX5
ENSG00000183475	Q9H672
ENSG00000102048	Q96DX5
ENSG00000138303	Q8N9N2
ENSG00000100325	Q9H1I8
ENSG00000139352	P50553
ENSG00000176009	Q9NQ33
ENSG00000187855	Q6XD76
ENSG00000111875	Q9Y294
ENSG00000141505	P07306
ENSG00000161944	P07307
ENSG00000129691	Q9UBL3
ENSG00000110881	P78348
ENSG00000072182	Q96FT7
ENSG00000169093	O95671
ENSG00000070669	P08243
ENSG00000169696	Q9BZE9
ENSG00000038002	P20933
ENSG00000198363	Q12797
ENSG00000088808	Q96KQ4
ENSG00000143514	Q13625
ENSG00000105583	Q9Y284
ENSG00000188886	Q6HA08
ENSG00000089351	Q96CP6
ENSG00000178075	Q8IYS0
ENSG00000171456	Q8IXJ9
ENSG00000143970	Q76L83
ENSG00000154438	Q8WWH4
ENSG00000058063	Q9Y2G3
ENSG00000105726	Q9HD20
ENSG00000132681	Q13733
ENSG00000069849	P54709
ENSG00000101892	Q9UN42
ENSG00000175309	Q8IUZ5
ENSG00000159199	P05496
ENSG00000154518	P48201
ENSG00000146776	Q9ULK2
ENSG00000162650	Q5T6C5
ENSG00000087152	Q14CW9
ENSG00000167654	Q86WG3
ENSG00000115966	P15336
ENSG00000128272	P18848
ENSG00000169136	Q9Y2D1
ENSG00000213676	Q99941
ENSG00000152348	Q9H0Y0
ENSG00000145782	O94817
ENSG00000175224	O75143
ENSG00000110046	Q2TAZ0
ENSG00000144848	Q9NT62
ENSG00000101844	Q8WYN0
ENSG00000168397	Q9Y4P1
ENSG00000057663	Q9H1Y0
ENSG00000198925	Q7Z3C6
ENSG00000181652	Q674R7
ENSG00000123395	Q9BSB4
ENSG00000130770	Q9UII2
ENSG00000156218	P82987
ENSG00000143382	Q6UY14
ENSG00000149311	Q13315
ENSG00000111676	P54259
ENSG00000137731	P54710
ENSG00000179774	Q8N100
ENSG00000005238	Q7L5A3
ENSG00000177556	O00244
ENSG00000166896	Q9Y6H3
ENSG00000186009	P51164
ENSG00000124172	P56381
ENSG00000169020	P56385
ENSG00000154723	P18859
ENSG00000125375	Q99766
ENSG00000156411	P56378
ENSG00000110955	P06576
ENSG00000099624	P30049
ENSG00000171953	Q8N5M1
ENSG00000165629	P36542
ENSG00000241837	P48047
ENSG00000177674	Q6RW13
ENSG00000151388	P58397
ENSG00000154734	Q9UHI8
ENSG00000156140	O15072
ENSG00000198650	P17735
ENSG00000224470	P0C7T5
ENSG00000124788	P54253
ENSG00000168488	Q8WWM7
ENSG00000066427	P54252
ENSG00000119147	Q9H1Z8
ENSG00000127423	Q9H7T9
ENSG00000115307	Q9Y679
ENSG00000105146	Q9UQB9
ENSG00000158321	Q8WXX7
ENSG00000119986	Q5T686
ENSG00000168646	Q9Y2T1
ENSG00000155096	O14977
ENSG00000142920	Q96A70
ENSG00000171552	Q07817
ENSG00000129473	Q92843
ENSG00000258643	Q92843
ENSG00000137875	Q9HD36
ENSG00000153094	O43521
ENSG00000099968	Q9BXK5
ENSG00000121380	Q9BZR8
ENSG00000188761	Q5TBC7
ENSG00000140379	Q16548
ENSG00000004939	P02730
ENSG00000109956	Q9P2W7
ENSG00000162885	Q8NCR0
ENSG00000176597	Q9BYG0
ENSG00000156966	Q8NFL0
ENSG00000183778	Q9Y2C3
ENSG00000167080	Q8NHY0
ENSG00000086062	P15291
ENSG00000117411	O60909
ENSG00000027847	Q9UBV7
ENSG00000123810	Q9BPU9
ENSG00000164929	Q8WXS3
ENSG00000105393	Q9NWV8
ENSG00000174943	Q8WZ19
ENSG00000109079	Q13829
ENSG00000110906	Q9H3F6
ENSG00000112182	Q9BYV9
ENSG00000097021	O00154
ENSG00000002330	Q92934
ENSG00000125888	Q9H503
ENSG00000175334	O75531
ENSG00000107262	Q99933
ENSG00000112208	O95816
ENSG00000151929	O95817
ENSG00000156735	O95429
ENSG00000166170	Q9UL15
ENSG00000204463	P46379
ENSG00000140320	Q8TBE0
ENSG00000175866	Q9UQB8
ENSG00000126775	Q6ZNE5
ENSG00000030110	Q16611
ENSG00000095739	Q13145
ENSG00000172530	Q8N9N5
ENSG00000258315	Q8IXM2
ENSG00000185825	P51572
ENSG00000138376	Q99728
ENSG00000143032	Q9NY43
ENSG00000043039	Q9UMQ3
ENSG00000172270	P35613
ENSG00000168062	Q8N1L9
ENSG00000123685	Q9NR55
ENSG00000156127	Q16520
ENSG00000087088	Q07812
ENSG00000123636	Q9UIF8
ENSG00000105327	Q96PG8
ENSG00000171159	Q9BUW7
ENSG00000125124	Q9BXC9
ENSG00000140463	Q96RK4
ENSG00000119866	Q9H165
ENSG00000187244	P50895
ENSG00000155629	Q6ZUJ8
ENSG00000050820	P56945
ENSG00000137936	O75815
ENSG00000141376	Q9H6U6
ENSG00000124243	Q8TDM0
ENSG00000060982	P54687
ENSG00000107949	Q9P287
ENSG00000103507	O14874
ENSG00000142867	O95999
ENSG00000171791	P10415
ENSG00000161940	Q8N143
ENSG00000113916	P41182
ENSG00000110987	Q4VC05
ENSG00000106635	Q9BQE9
ENSG00000228075	Q8IYS8
ENSG00000176697	P23560
ENSG00000126581	Q14457
ENSG00000183092	Q9BUH8
ENSG00000177324	Q8NDZ0
ENSG00000178409	Q5T5X7
ENSG00000162373	Q7L4P6
ENSG00000165626	Q8N7W2
ENSG00000167995	O76090
ENSG00000039987	Q8NFU1
ENSG00000127325	Q8N1M1
ENSG00000105829	O15155
ENSG00000133169	Q9HBH7
ENSG00000133134	Q9BXY8
ENSG00000166681	Q00994
ENSG00000102409	Q9NWD9
ENSG00000184515	Q5H9J7
ENSG00000103429	Q9NZS9
ENSG00000125864	Q12934
ENSG00000170819	Q13515
ENSG00000170266	P16278
ENSG00000120708	Q15582
ENSG00000205899	Q7RTU4
ENSG00000180535	Q7RTS1
ENSG00000125533	Q8NDY6
ENSG00000134107	O14503
ENSG00000139644	P55061
ENSG00000006453	Q9UHR4
ENSG00000128298	Q6UXY1
ENSG00000185963	Q8TD16
ENSG00000162069	A1A5D9
ENSG00000112624	Q6AI39
ENSG00000015475	P55957
ENSG00000100290	Q13323
ENSG00000110934	Q9UBW5
ENSG00000147439	Q9NQY0
ENSG00000110330	Q13490
ENSG00000089685	O15392
ENSG00000101197	Q96CA5
ENSG00000134897	Q86UB2
ENSG00000135441	P78537
ENSG00000196072	Q6QNY1
ENSG00000188428	Q8TDH9
ENSG00000104164	Q9UL45
ENSG00000166619	P62952
ENSG00000136573	P51451
ENSG00000108578	Q13867
ENSG00000090013	P30043
ENSG00000133794	O00327
ENSG00000029153	Q8WYA1
ENSG00000104081	Q96LC9
ENSG00000168283	P35226
ENSG00000163217	O95393
ENSG00000112175	P22003
ENSG00000101144	P18075
ENSG00000102010	P51813
ENSG00000173068	Q6ZN30
ENSG00000104765	O60238
ENSG00000140299	Q12982
ENSG00000176171	Q12983
ENSG00000189325	P0C671
ENSG00000144857	Q9BWV1
ENSG00000145919	Q96IK1
ENSG00000129151	O75936
ENSG00000178096	Q9Y3E2
ENSG00000183336	Q9H3K6
ENSG00000169627	Q9H3K6
ENSG00000163170	Q53S33
ENSG00000152430	Q8N9W6
ENSG00000165714	Q969J3
ENSG00000196544	Q96GS4
ENSG00000254901	Q96FH0
ENSG00000134690	Q53HL2
ENSG00000149798	O14613
ENSG00000163171	Q9UKI2
ENSG00000128283	Q00587
ENSG00000137274	Q86WA6
ENSG00000198183	Q9NP55
ENSG00000131050	Q96DR5
ENSG00000186190	P59826
ENSG00000159267	P50747
ENSG00000089234	Q7Z569
ENSG00000106009	Q6PJG6
ENSG00000185515	P46736
ENSG00000100425	O95696
ENSG00000169925	Q15059
ENSG00000166164	Q9NPI1
ENSG00000112983	Q9H0E9
ENSG00000028310	Q9H8M2
ENSG00000155827	Q5VTR2
ENSG00000103549	O75150
ENSG00000164713	O95415
ENSG00000182685	Q6PL45
ENSG00000254999	Q8WUW1
ENSG00000100916	Q5PSV4
ENSG00000132016	Q0VDD7
ENSG00000174744	Q9HCU9
ENSG00000156983	P55201
ENSG00000096070	Q9ULD4
ENSG00000174672	Q8IWQ3
ENSG00000185658	Q9NSI6
ENSG00000113460	Q8TDN6
ENSG00000168000	Q96G97
ENSG00000160058	Q9NW68
ENSG00000162399	Q8WZ55
ENSG00000130303	Q10589
ENSG00000124557	Q13410
ENSG00000112763	Q7KYR7
ENSG00000124508	Q8WVV5
ENSG00000186470	P78410
ENSG00000134717	Q96K17
ENSG00000064726	Q9H0C5
ENSG00000133243	Q9BX70
ENSG00000132640	Q9Y2F9
ENSG00000184887	Q96KE9
ENSG00000138152	Q32M84
ENSG00000233436	B2RXH4
ENSG00000174808	P35070
ENSG00000145741	P20290
ENSG00000133639	P62324
ENSG00000159388	P78543
ENSG00000113303	Q6UX41
ENSG00000165810	Q6UXG8
ENSG00000169679	O43683
ENSG00000137656	Q9BRD0
ENSG00000071462	O43709
ENSG00000106245	P41223
ENSG00000117281	O95971
ENSG00000112578	Q13895
ENSG00000150636	Q68D86
ENSG00000111678	Q99622
ENSG00000177575	Q86VB7
ENSG00000174950	Q6UWJ8
ENSG00000099814	Q9Y4F5
ENSG00000095485	Q69YN2
ENSG00000152404	Q2TBE0
ENSG00000197223	Q13901
ENSG00000106392	Q9NS00
ENSG00000173372	P02745
ENSG00000108561	Q07021
ENSG00000159189	P02747
ENSG00000186897	Q86Z23
ENSG00000173918	Q9BXJ1
ENSG00000145861	Q9BXJ5
ENSG00000172247	Q9BXJ3
ENSG00000223953	Q9BXJ0
ENSG00000133466	Q9BXI9
ENSG00000182326	P09871
ENSG00000237190	Q96HQ2
ENSG00000172375	O14523
ENSG00000111731	Q86YS7
ENSG00000154222	Q5T0F9
ENSG00000174151	Q8N8Q1
ENSG00000114395	O14569
ENSG00000102181	Q8TCZ2
ENSG00000116667	Q9H246
ENSG00000164008	Q9BV19
ENSG00000162757	Q96LT6
ENSG00000162598	Q8N0U7
ENSG00000142698	Q6P1W5
ENSG00000180999	O95561
ENSG00000131591	Q96HA4
ENSG00000198912	Q8IYL3
ENSG00000142686	Q8TAB5
ENSG00000135932	Q9Y376
ENSG00000167791	Q9NPB3
ENSG00000105507	Q9NP86
ENSG00000100314	Q86V35
ENSG00000183166	Q9BXU9
ENSG00000081248	Q13698
ENSG00000067191	Q02641
ENSG00000165995	Q08289
ENSG00000167535	P54284
ENSG00000182389	O00305
ENSG00000012822	Q9P1Z2
ENSG00000136436	Q13137
ENSG00000129910	P55291
ENSG00000079112	Q12864
ENSG00000162706	Q8N126
ENSG00000167670	Q13111
ENSG00000164304	Q8TC20
ENSG00000185015	Q8N1Q1
ENSG00000164879	P07451
ENSG00000178538	P35219
ENSG00000107159	Q16790
ENSG00000188820	Q5R3K3
ENSG00000110680	P06881
ENSG00000175868	P10092
ENSG00000178363	P27482
ENSG00000169885	Q8TD86
ENSG00000198668	P0DP23
ENSG00000143933	P0DP24
ENSG00000160014	P0DP25
ENSG00000179218	P27797
ENSG00000164615	P49069
ENSG00000130559	Q5T5Y3
ENSG00000076826	Q9P1Y5
ENSG00000103326	O75808
ENSG00000092529	P20807
ENSG00000077274	Q9Y6Q1
ENSG00000131375	Q9Y6W3
ENSG00000221823	P63098
ENSG00000188386	Q96LZ3
ENSG00000144712	O75155
ENSG00000171302	Q8WVQ1
ENSG00000112186	P40123
ENSG00000110888	Q6IMN6
ENSG00000163618	Q9ULU8
ENSG00000100065	Q9BWT7
ENSG00000141527	Q9BXL6
ENSG00000187796	Q9H257
ENSG00000156017	Q8N4J0
ENSG00000164326	Q16568
ENSG00000126545	P47710
ENSG00000135222	P05814
ENSG00000108349	O15234
ENSG00000171209	P07498
ENSG00000111859	Q14511
ENSG00000137752	P29466
ENSG00000106144	P42575
ENSG00000164305	P42574
ENSG00000138794	P55212
ENSG00000165806	P55210
ENSG00000064012	Q14790
ENSG00000132906	P55211
ENSG00000087589	Q9NQ75
ENSG00000239282	Q8WTX7
ENSG00000186166	Q86UT8
ENSG00000100448	P08311
ENSG00000105298	Q8WUQ7
ENSG00000158428	Q7Z7H3
ENSG00000101160	Q9UBR2
ENSG00000105971	P51636
ENSG00000182533	P56539
ENSG00000177469	Q6NZI2
ENSG00000168497	O95810
ENSG00000170955	Q969G5
ENSG00000170681	Q5BKX8
ENSG00000273045	Q8WU43
ENSG00000115998	Q9NWW7
ENSG00000168887	Q2NKX9
ENSG00000237651	A8MZ97
ENSG00000186132	Q3KRA6
ENSG00000102547	Q9H9S4
ENSG00000188343	A1XBS5
ENSG00000099625	Q8N350
ENSG00000114423	Q13191
ENSG00000142273	Q9ULV8
ENSG00000175809	Q8N7E2
ENSG00000165923	Q5U5Z8
ENSG00000159231	O75828
ENSG00000145439	Q8N4T8
ENSG00000160200	P35520
ENSG00000108468	P83916
ENSG00000173894	Q14781
ENSG00000122565	Q13185
ENSG00000141582	O00257
ENSG00000094916	P45973
ENSG00000100307	O95931
ENSG00000141570	Q9HC52
ENSG00000100211	Q9Y3M2
ENSG00000174015	Q8NA61
ENSG00000174928	Q6P1S2
ENSG00000179021	Q5JPI3
ENSG00000188315	Q6ZUJ4
ENSG00000173581	Q9BWC9
ENSG00000159884	Q8WV48
ENSG00000164221	Q8NEF3
ENSG00000161180	Q8IYX3
ENSG00000147144	Q96HB5
ENSG00000176714	Q6ZUS5
ENSG00000183323	Q86Z20
ENSG00000100147	Q9H6E4
ENSG00000128596	Q96JN2
ENSG00000163006	Q96M89
ENSG00000163492	Q6ZP82
ENSG00000135205	Q8IYE0
ENSG00000153237	Q8NFR7
ENSG00000079335	Q9UNH5
ENSG00000081377	O60729
ENSG00000144395	Q8NCX0
ENSG00000198865	Q4G0S7
ENSG00000187860	Q569K6
ENSG00000198937	Q9P0B6
ENSG00000120262	Q8IYT3
ENSG00000182645	P0C7W6
ENSG00000154781	Q6PII3
ENSG00000255359	H3BU77
ENSG00000213213	Q5T5S1
ENSG00000177875	Q52MB2
ENSG00000178395	Q8N715
ENSG00000260220	A0A096LP49
ENSG00000196553	A0A1B0GTZ2
ENSG00000175699	Q8NCU1
ENSG00000160050	Q9BUN5
ENSG00000276070	Q8NHW4
ENSG00000112697	Q9NV96
ENSG00000182107	Q3MIR4
ENSG00000163040	Q96AQ1
ENSG00000152076	Q96LY2
ENSG00000055813	Q96PX6
ENSG00000175602	Q15834
ENSG00000168071	A6NC98
ENSG00000137500	Q9GZT6
