string_protein_id	uniprotkb
10090.ENSMUSP00000000579	20682
10090.ENSMUSP00000000590	19684
10090.ENSMUSP00000000594	57316
10090.ENSMUSP00000000608	14667
10090.ENSMUSP00000000619	12727
10090.ENSMUSP00000000641	20355
10090.ENSMUSP00000000642	15277
10090.ENSMUSP00000000687	1.13.11.6
10090.ENSMUSP00000000696	23833
10090.ENSMUSP00000000707	1.4.3.-
10090.ENSMUSP00000000717	27382
10090.ENSMUSP00000000718	27380
10090.ENSMUSP00000000724	18519
10090.ENSMUSP00000000727	19344
10090.ENSMUSP00000000755	2.8.2.-
10090.ENSMUSP00000000756	270106
10090.ENSMUSP00000000759	234852
10090.ENSMUSP00000000767	68275
10090.ENSMUSP00000000769	20317
10090.ENSMUSP00000000776	259279
10090.ENSMUSP00000000804	13205
10090.ENSMUSP00000000808	16161
10090.ENSMUSP00000000809	B2RPX6
10090.ENSMUSP00000000811	140493
10090.ENSMUSP00000000828	1.8.1.9
10090.ENSMUSP00000000834	14103
10090.ENSMUSP00000000889	16189
10090.ENSMUSP00000000895	56846
10090.ENSMUSP00000000896	24 kDa peroxisomal intrinsic membrane protein
10090.ENSMUSP00000000910	1.14.17.1
10090.ENSMUSP00000000924	17385
10090.ENSMUSP00000000925	20587
10090.ENSMUSP00000000926	22364
10090.ENSMUSP00000000939	29816
10090.ENSMUSP00000000940	100609
10090.ENSMUSP00000000958	5.6.2.1
10090.ENSMUSP00000000964	B9EHK7
10090.ENSMUSP00000000985	69089
10090.ENSMUSP00000001002	217026
10090.ENSMUSP00000001008	20302
10090.ENSMUSP00000001009	14038
10090.ENSMUSP00000001027	1.17.3.-
10090.ENSMUSP00000001040	78369
10090.ENSMUSP00000001042	4AT7
10090.ENSMUSP00000001046	20198
10090.ENSMUSP00000001047	20197
10090.ENSMUSP00000001051	20200
10090.ENSMUSP00000001055	15896
10090.ENSMUSP00000001059	2.7.11.1
10090.ENSMUSP00000001079	99683
10090.ENSMUSP00000001080	212706
10090.ENSMUSP00000001081	2.3.2.27
10090.ENSMUSP00000001092	57247
10090.ENSMUSP00000001109	68294
10090.ENSMUSP00000001112	14772
10090.ENSMUSP00000001115	2.7.11.16
10090.ENSMUSP00000001122	20500
10090.ENSMUSP00000001125	330171
10090.ENSMUSP00000001126	52466
10090.ENSMUSP00000001127	67811
10090.ENSMUSP00000001130	18292
10090.ENSMUSP00000001147	12833
10090.ENSMUSP00000001148	59093
10090.ENSMUSP00000001155	11836
10090.ENSMUSP00000001156	18636
10090.ENSMUSP00000001166	5K24
10090.ENSMUSP00000001172	109346
10090.ENSMUSP00000001179	18541
10090.ENSMUSP00000001181	12834
10090.ENSMUSP00000001183	14317
10090.ENSMUSP00000001184	A0A0N4SVF6
10090.ENSMUSP00000001185	23885
10090.ENSMUSP00000001186	66618
10090.ENSMUSP00000001202	3.1.3.36
10090.ENSMUSP00000001226	1ABO
10090.ENSMUSP00000001240	1-AGP acyltransferase 3
10090.ENSMUSP00000001242	28295
10090.ENSMUSP00000001247	56874
10090.ENSMUSP00000001253	23985
10090.ENSMUSP00000001254	13487
10090.ENSMUSP00000001256	20359
10090.ENSMUSP00000001258	18140
10090.ENSMUSP00000001279	54135
10090.ENSMUSP00000001280	52857
10090.ENSMUSP00000001304	12709
10090.ENSMUSP00000001319	13642
10090.ENSMUSP00000001326	20683
10090.ENSMUSP00000001327	16421
10090.ENSMUSP00000001339	67223
10090.ENSMUSP00000001347	11858
10090.ENSMUSP00000001384	12797
10090.ENSMUSP00000001402	71538
10090.ENSMUSP00000001412	73288
10090.ENSMUSP00000001415	225372
10090.ENSMUSP00000001416	15115
10090.ENSMUSP00000001419	66492
10090.ENSMUSP00000001451	229512
10090.ENSMUSP00000001452	12462
10090.ENSMUSP00000001456	71913
10090.ENSMUSP00000001460	100 kDa coactivator
10090.ENSMUSP00000001479	16211
10090.ENSMUSP00000001480	19155
10090.ENSMUSP00000001484	57765
10090.ENSMUSP00000001485	107732
10090.ENSMUSP00000001497	12684
10090.ENSMUSP00000001507	1.14.14.154
10090.ENSMUSP00000001513	67951
10090.ENSMUSP00000001520	114896
10090.ENSMUSP00000001534	2KD3
10090.ENSMUSP00000001536	21869
10090.ENSMUSP00000001544	67776
10090.ENSMUSP00000001547	12842
10090.ENSMUSP00000001559	101142
10090.ENSMUSP00000001562	22158
10090.ENSMUSP00000001565	14885
10090.ENSMUSP00000001566	22154
10090.ENSMUSP00000001569	14251
10090.ENSMUSP00000001583	192657
10090.ENSMUSP00000001592	16480
10090.ENSMUSP00000001595	14230
10090.ENSMUSP00000001599	66720
10090.ENSMUSP00000001611	433864
10090.ENSMUSP00000001620	14359
10090.ENSMUSP00000001626	2.7.10.2
10090.ENSMUSP00000001631	216859
10090.ENSMUSP00000001652	12062
10090.ENSMUSP00000001672	15982
10090.ENSMUSP00000001675	2.7.11.1
10090.ENSMUSP00000001699	209448
10090.ENSMUSP00000001700	15422
10090.ENSMUSP00000001701	109663
10090.ENSMUSP00000001703	15426
10090.ENSMUSP00000001706	15427
10090.ENSMUSP00000001709	15424
10090.ENSMUSP00000001711	15425
10090.ENSMUSP00000001712	104248
10090.ENSMUSP00000001713	14871
10090.ENSMUSP00000001715	103140
10090.ENSMUSP00000001716	13202
10090.ENSMUSP00000001720	2.6.1.5
10090.ENSMUSP00000001722	73608
10090.ENSMUSP00000001724	3.6.4.13
10090.ENSMUSP00000001757	66143
10090.ENSMUSP00000001780	11651
10090.ENSMUSP00000001792	16170
10090.ENSMUSP00000001802	27419
10090.ENSMUSP00000001809	18458
10090.ENSMUSP00000001812	319757
10090.ENSMUSP00000001818	66877
10090.ENSMUSP00000001824	3.4.17.21
10090.ENSMUSP00000001825	66917
10090.ENSMUSP00000001834	28088
10090.ENSMUSP00000001836	103136
10090.ENSMUSP00000001845	12336
10090.ENSMUSP00000001854	53896
10090.ENSMUSP00000001872	15433
10090.ENSMUSP00000001878	15432
10090.ENSMUSP00000001884	20480
10090.ENSMUSP00000001900	2.3.1.225
10090.ENSMUSP00000001920	108897
10090.ENSMUSP00000001921	12873
10090.ENSMUSP00000001927	268977
10090.ENSMUSP00000001950	54473
10090.ENSMUSP00000001963	11421
10090.ENSMUSP00000001965	192775
10090.ENSMUSP00000001974	2.1.1.216
10090.ENSMUSP00000001975	66830
10090.ENSMUSP00000001984	26368
10090.ENSMUSP00000001989	1Z7L
10090.ENSMUSP00000002008	57276
10090.ENSMUSP00000002011	69524
10090.ENSMUSP00000002013	20686
10090.ENSMUSP00000002029	13726
10090.ENSMUSP00000002043	67163
10090.ENSMUSP00000002044	2.7.11.25
10090.ENSMUSP00000002048	5EKZ
10090.ENSMUSP00000002053	18142
10090.ENSMUSP00000002063	108011
10090.ENSMUSP00000002064	1.3.1.24
10090.ENSMUSP00000002079	140571
10090.ENSMUSP00000002080	245469
10090.ENSMUSP00000002081	2.7.11.1
10090.ENSMUSP00000002084	11666
10090.ENSMUSP00000002087	2.7.11.17
10090.ENSMUSP00000002091	27061
10090.ENSMUSP00000002095	2.1.1.354
10090.ENSMUSP00000002099	76568
10090.ENSMUSP00000002100	71687
10090.ENSMUSP00000002101	12502
10090.ENSMUSP00000002112	67091
10090.ENSMUSP00000002121	20926
10090.ENSMUSP00000002133	20316
10090.ENSMUSP00000002152	170770
10090.ENSMUSP00000002172	11432
10090.ENSMUSP00000002180	1PUE
10090.ENSMUSP00000002198	1WE7
10090.ENSMUSP00000002259	12745
10090.ENSMUSP00000002274	16541
10090.ENSMUSP00000002275	101568
10090.ENSMUSP00000002280	71997
10090.ENSMUSP00000002284	18793
10090.ENSMUSP00000002289	3.4.19.12
10090.ENSMUSP00000002291	55982
10090.ENSMUSP00000002292	2.3.2.27
10090.ENSMUSP00000002298	3.1.3.16
10090.ENSMUSP00000002303	11853
10090.ENSMUSP00000002305	1.14.11.-
10090.ENSMUSP00000002320	19015
10090.ENSMUSP00000002327	23853
10090.ENSMUSP00000002336	22776
10090.ENSMUSP00000002350	67563
10090.ENSMUSP00000002360	425O18-1
10090.ENSMUSP00000002379	54219
10090.ENSMUSP00000002395	56739
10090.ENSMUSP00000002397	1.7.1.7
10090.ENSMUSP00000002400	1U7O
10090.ENSMUSP00000002403	1.1.-.-
10090.ENSMUSP00000002412	13004
10090.ENSMUSP00000002413	234371
10090.ENSMUSP00000002418	72368
10090.ENSMUSP00000002436	2ENM
10090.ENSMUSP00000002444	19725
10090.ENSMUSP00000002445	71810
10090.ENSMUSP00000002452	A0A3B2W441
10090.ENSMUSP00000002456	3.1.3.5
10090.ENSMUSP00000002457	12164
10090.ENSMUSP00000002466	13864
10090.ENSMUSP00000002469	77090
10090.ENSMUSP00000002473	68251
10090.ENSMUSP00000002487	109880
10090.ENSMUSP00000002495	17537
10090.ENSMUSP00000002502	2.3.2.27
10090.ENSMUSP00000002518	14797
10090.ENSMUSP00000002529	68879
10090.ENSMUSP00000002551	20641
10090.ENSMUSP00000002572	65962
10090.ENSMUSP00000002588	1FOE
10090.ENSMUSP00000002603	105782
10090.ENSMUSP00000002625	2.7.1.48
10090.ENSMUSP00000002640	20259
10090.ENSMUSP00000002655	103742
10090.ENSMUSP00000002663	18979
10090.ENSMUSP00000002677	2.7.10.1
10090.ENSMUSP00000002678	21803
10090.ENSMUSP00000002683	52132
10090.ENSMUSP00000002699	56399
10090.ENSMUSP00000002708	1VHH
10090.ENSMUSP00000002710	68079
10090.ENSMUSP00000002733	98053
10090.ENSMUSP00000002735	3.4.21.92
10090.ENSMUSP00000002737	1.14.11.-
10090.ENSMUSP00000002740	A1L3Q1
10090.ENSMUSP00000002757	66272
10090.ENSMUSP00000002765	18760
10090.ENSMUSP00000002790	110750
10090.ENSMUSP00000002805	2.3.1.254
10090.ENSMUSP00000002808	23992
10090.ENSMUSP00000002809	14231
10090.ENSMUSP00000002818	2.3.1.-
10090.ENSMUSP00000002825	2.7.10.2
10090.ENSMUSP00000002837	5GU5
10090.ENSMUSP00000002839	21770
10090.ENSMUSP00000002840	224824
10090.ENSMUSP00000002844	27398
10090.ENSMUSP00000002846	14711
10090.ENSMUSP00000002848	14814
10090.ENSMUSP00000002850	27421
10090.ENSMUSP00000002855	68137
10090.ENSMUSP00000002880	MGI:3026623
10090.ENSMUSP00000002883	20379
10090.ENSMUSP00000002885	105298
10090.ENSMUSP00000002889	14248
10090.ENSMUSP00000002891	21975
10090.ENSMUSP00000002902	2.4.2.29
10090.ENSMUSP00000002914	1S4Z
10090.ENSMUSP00000002923	11544
10090.ENSMUSP00000002924	67846
10090.ENSMUSP00000002925	76916
10090.ENSMUSP00000002926	3.1.1.-
10090.ENSMUSP00000002976	16172
10090.ENSMUSP00000002979	16777
10090.ENSMUSP00000002989	70807
10090.ENSMUSP00000003017	21391
10090.ENSMUSP00000003027	2.7.12.2
10090.ENSMUSP00000003029	21856
10090.ENSMUSP00000003035	68897
10090.ENSMUSP00000003038	100 kDa coated vesicle protein C
10090.ENSMUSP00000003044	1UJX
10090.ENSMUSP00000003049	75613
10090.ENSMUSP00000003061	57278
10090.ENSMUSP00000003071	Q61268
10090.ENSMUSP00000003100	1.14.14.-
10090.ENSMUSP00000003117	11767
10090.ENSMUSP00000003121	17274
10090.ENSMUSP00000003123	67922
10090.ENSMUSP00000003135	13710
10090.ENSMUSP00000003137	1.14.14.1
10090.ENSMUSP00000003152	2.7.11.1
10090.ENSMUSP00000003154	13637
10090.ENSMUSP00000003183	19060
10090.ENSMUSP00000003207	16890
10090.ENSMUSP00000003238	60611
10090.ENSMUSP00000003268	20405
10090.ENSMUSP00000003274	50498
10090.ENSMUSP00000003284	54131
10090.ENSMUSP00000003290	75736
10090.ENSMUSP00000003310	19386
10090.ENSMUSP00000003312	13608
10090.ENSMUSP00000003313	14773
10090.ENSMUSP00000003319	27406
10090.ENSMUSP00000003320	224045
10090.ENSMUSP00000003360	12348
10090.ENSMUSP00000003369	NP_064353.2
10090.ENSMUSP00000003370	15162
10090.ENSMUSP00000003386	39S ribosomal protein L4, mitochondrial
10090.ENSMUSP00000003434	208198
10090.ENSMUSP00000003436	216169
10090.ENSMUSP00000003438	208228
10090.ENSMUSP00000003444	105833
10090.ENSMUSP00000003445	19 kDa FK506-binding protein
10090.ENSMUSP00000003450	74351
10090.ENSMUSP00000003451	223881
10090.ENSMUSP00000003459	246177
10090.ENSMUSP00000003468	14809
10090.ENSMUSP00000003469	12518
10090.ENSMUSP00000003501	15571
10090.ENSMUSP00000003509	2.4.99.-
10090.ENSMUSP00000003512	14132
10090.ENSMUSP00000003513	2.3.2.27
10090.ENSMUSP00000003521	27207
10090.ENSMUSP00000003529	54624
10090.ENSMUSP00000003536	67224
10090.ENSMUSP00000003550	59287
10090.ENSMUSP00000003554	12372
10090.ENSMUSP00000003561	105653
10090.ENSMUSP00000003569	2.1.1.49
10090.ENSMUSP00000003572	2.7.7.-
10090.ENSMUSP00000003574	72054
10090.ENSMUSP00000003575	326618
10090.ENSMUSP00000003597	26438
10090.ENSMUSP00000003599	93703
10090.ENSMUSP00000003620	1.5.5.2
10090.ENSMUSP00000003621	27886
10090.ENSMUSP00000003622	NM_153150.2
10090.ENSMUSP00000003635	Gly96
10090.ENSMUSP00000003640	14282
10090.ENSMUSP00000003642	74764
10090.ENSMUSP00000003645	13870
10090.ENSMUSP00000003655	2.1.1.137
10090.ENSMUSP00000003659	12845
10090.ENSMUSP00000003677	71673
10090.ENSMUSP00000003681	67815
10090.ENSMUSP00000003687	LAP
10090.ENSMUSP00000003705	74268
10090.ENSMUSP00000003717	18670
10090.ENSMUSP00000003720	1XL7
10090.ENSMUSP00000003726	2DWW
10090.ENSMUSP00000003754	12308
10090.ENSMUSP00000003759	26371
10090.ENSMUSP00000003762	15116
10090.ENSMUSP00000003808	23886
10090.ENSMUSP00000003818	72999
10090.ENSMUSP00000003826	15561
10090.ENSMUSP00000003843	17155
10090.ENSMUSP00000003850	2.7.1.127
10090.ENSMUSP00000003857	192192
10090.ENSMUSP00000003870	17859
10090.ENSMUSP00000003876	78656
10090.ENSMUSP00000003898	107522
10090.ENSMUSP00000003906	6.1.1.20
10090.ENSMUSP00000003907	1.3.8.6
10090.ENSMUSP00000003910	13423
10090.ENSMUSP00000003912	12317
10090.ENSMUSP00000003946	2CON
10090.ENSMUSP00000003947	1.6.5.2
10090.ENSMUSP00000003961	4UWX
10090.ENSMUSP00000003964	14936
10090.ENSMUSP00000003971	1Y74
10090.ENSMUSP00000003981	16197
10090.ENSMUSP00000004036	13643
10090.ENSMUSP00000004050	67468
10090.ENSMUSP00000004051	217082
10090.ENSMUSP00000004054	16646
10090.ENSMUSP00000004057	70186
10090.ENSMUSP00000004076	108069
10090.ENSMUSP00000004094	66970
10090.ENSMUSP00000004120	Phf9
10090.ENSMUSP00000004133	240843
10090.ENSMUSP00000004134	14866
10090.ENSMUSP00000004136	14864
10090.ENSMUSP00000004137	2.5.1.18
10090.ENSMUSP00000004140	14862
10090.ENSMUSP00000004156	2.7.11.25
10090.ENSMUSP00000004172	1.14.14.18
10090.ENSMUSP00000004173	66626
10090.ENSMUSP00000004200	66070
10090.ENSMUSP00000004201	53867
10090.ENSMUSP00000004202	13433
10090.ENSMUSP00000004203	235036
10090.ENSMUSP00000004206	53356
10090.ENSMUSP00000004208	26360
10090.ENSMUSP00000004222	15260
10090.ENSMUSP00000004232	1.1.1.1
10090.ENSMUSP00000004281	2.7.12.1
10090.ENSMUSP00000004294	A0A2R8VHZ2
10090.ENSMUSP00000004326	18846
10090.ENSMUSP00000004327	1.1.1.49
10090.ENSMUSP00000004330	16151
10090.ENSMUSP00000004343	(Mt)TrpRS
10090.ENSMUSP00000004375	12034
10090.ENSMUSP00000004377	PTN6_MOUSE
10090.ENSMUSP00000004378	13807
10090.ENSMUSP00000004379	14791
10090.ENSMUSP00000004381	1-acylglycerophosphocholine O-acyltransferase
10090.ENSMUSP00000004389	14790
10090.ENSMUSP00000004396	66144
10090.ENSMUSP00000004430	12725
10090.ENSMUSP00000004453	1.11.1.9
10090.ENSMUSP00000004470	A0A1W2P6J9
10090.ENSMUSP00000004473	20728
10090.ENSMUSP00000004480	20604
10090.ENSMUSP00000004494	1E91
10090.ENSMUSP00000004505	MGI:2685089
10090.ENSMUSP00000004507	3.6.4.13
10090.ENSMUSP00000004508	103694
10090.ENSMUSP00000004560	12122
10090.ENSMUSP00000004565	64143
10090.ENSMUSP00000004576	70573
10090.ENSMUSP00000004587	20256
10090.ENSMUSP00000004614	65020
10090.ENSMUSP00000004622	GAB2_MOUSE
10090.ENSMUSP00000004646	23790
10090.ENSMUSP00000004655	26437
10090.ENSMUSP00000004657	26439
10090.ENSMUSP00000004673	29811
10090.ENSMUSP00000004683	5WPQ
10090.ENSMUSP00000004684	102098
10090.ENSMUSP00000004686	69129
10090.ENSMUSP00000004715	NM_029730.4
10090.ENSMUSP00000004728	12489
10090.ENSMUSP00000004729	110826
10090.ENSMUSP00000004732	233187
10090.ENSMUSP00000004756	1.1.1.-
10090.ENSMUSP00000004770	1.14.18.1
10090.ENSMUSP00000004774	11826
10090.ENSMUSP00000004784	12798
10090.ENSMUSP00000004786	66420
10090.ENSMUSP00000004829	18106
10090.ENSMUSP00000004868	67900
10090.ENSMUSP00000004910	217715
10090.ENSMUSP00000004913	18654
10090.ENSMUSP00000004920	2.7.11.1
10090.ENSMUSP00000004936	56221
10090.ENSMUSP00000004943	67366
10090.ENSMUSP00000004949	2.3.2.27
10090.ENSMUSP00000004955	212627
10090.ENSMUSP00000004959	71520
10090.ENSMUSP00000004965	68942
10090.ENSMUSP00000004968	1.14.11.4
10090.ENSMUSP00000004985	268936
10090.ENSMUSP00000004990	1LEW
10090.ENSMUSP00000004994	18505
10090.ENSMUSP00000005003	1.3.1.70
10090.ENSMUSP00000005014	73940
10090.ENSMUSP00000005015	94315
10090.ENSMUSP00000005016	229503
10090.ENSMUSP00000005017	15191
10090.ENSMUSP00000005019	12904
10090.ENSMUSP00000005053	70544
10090.ENSMUSP00000005057	3.4.24.15
10090.ENSMUSP00000005064	2.3.2.27
10090.ENSMUSP00000005066	2.7.12.2
10090.ENSMUSP00000005067	52551
10090.ENSMUSP00000005069	2.7.1.173
10090.ENSMUSP00000005073	22788
10090.ENSMUSP00000005077	D3YZ06
10090.ENSMUSP00000005103	18025
10090.ENSMUSP00000005108	1.14.11.-
10090.ENSMUSP00000005114	108017
10090.ENSMUSP00000005164	18749
10090.ENSMUSP00000005173	27029
10090.ENSMUSP00000005185	13014
10090.ENSMUSP00000005188	1V5M
10090.ENSMUSP00000005218	12505
10090.ENSMUSP00000005233	1UKX
10090.ENSMUSP00000005234	22388
10090.ENSMUSP00000005255	22402
10090.ENSMUSP00000005256	17988
10090.ENSMUSP00000005262	4930550C14Rik
10090.ENSMUSP00000005279	12224
10090.ENSMUSP00000005334	20415
10090.ENSMUSP00000005336	3.4.22.-
10090.ENSMUSP00000005352	3.4.21.-
10090.ENSMUSP00000005364	14378
10090.ENSMUSP00000005406	11820
10090.ENSMUSP00000005413	57745
10090.ENSMUSP00000005431	56384
10090.ENSMUSP00000005452	14186
10090.ENSMUSP00000005488	12365
10090.ENSMUSP00000005490	20513
10090.ENSMUSP00000005493	20512
10090.ENSMUSP00000005503	17688
10090.ENSMUSP00000005504	225055
10090.ENSMUSP00000005507	4GNT
10090.ENSMUSP00000005509	20907
10090.ENSMUSP00000005532	18073
10090.ENSMUSP00000005548	1.14.14.18
10090.ENSMUSP00000005583	18476
10090.ENSMUSP00000005592	243958
10090.ENSMUSP00000005600	19724
10090.ENSMUSP00000005601	50931
10090.ENSMUSP00000005606	18747
10090.ENSMUSP00000005607	66929
10090.ENSMUSP00000005611	59310
10090.ENSMUSP00000005620	81489
10090.ENSMUSP00000005630	55993
10090.ENSMUSP00000005647	1.6.99.3
10090.ENSMUSP00000005651	1.6.2.4
10090.ENSMUSP00000005669	13089
10090.ENSMUSP00000005671	16001
10090.ENSMUSP00000005678	14128
10090.ENSMUSP00000005685	1.14.14.1
10090.ENSMUSP00000005692	7.2.2.19
10090.ENSMUSP00000005705	2.3.2.27
10090.ENSMUSP00000005711	68953
10090.ENSMUSP00000005714	2.3.2.-
10090.ENSMUSP00000005749	22083
10090.ENSMUSP00000005791	29865
10090.ENSMUSP00000005798	72183
10090.ENSMUSP00000005810	1.5.1.15
10090.ENSMUSP00000005815	16590
10090.ENSMUSP00000005817	641376
10090.ENSMUSP00000005820	12355
10090.ENSMUSP00000005825	103135
10090.ENSMUSP00000005826	12974
10090.ENSMUSP00000005829	11717
10090.ENSMUSP00000005830	68183
10090.ENSMUSP00000005841	11-zinc finger protein
10090.ENSMUSP00000005860	19293
10090.ENSMUSP00000005862	83383
10090.ENSMUSP00000005889	1F5X
10090.ENSMUSP00000005891	101533
10090.ENSMUSP00000005923	19172
10090.ENSMUSP00000005933	16615
10090.ENSMUSP00000005950	17381
10090.ENSMUSP00000005952	22785
10090.ENSMUSP00000005954	18457
10090.ENSMUSP00000005964	1.1.1.-
10090.ENSMUSP00000005976	50930
10090.ENSMUSP00000006005	19228
10090.ENSMUSP00000006020	12789
10090.ENSMUSP00000006027	A0A494BB24
10090.ENSMUSP00000006035	66366
10090.ENSMUSP00000006037	17978
10090.ENSMUSP00000006046	22044
10090.ENSMUSP00000006053	3.1.4.12
10090.ENSMUSP00000006071	18423
10090.ENSMUSP00000006094	1.14.14.1
10090.ENSMUSP00000006101	16407
10090.ENSMUSP00000006104	94045
10090.ENSMUSP00000006105	2.7.1.14
10090.ENSMUSP00000006112	13845
10090.ENSMUSP00000006123	22156
10090.ENSMUSP00000006128	19672
10090.ENSMUSP00000006136	13419
10090.ENSMUSP00000006137	68015
10090.ENSMUSP00000006151	1.14.18.-
10090.ENSMUSP00000006178	G3X8R1
10090.ENSMUSP00000006181	108124
10090.ENSMUSP00000006217	27681
10090.ENSMUSP00000006221	245944
10090.ENSMUSP00000006235	13030
10090.ENSMUSP00000006254	1V6E
10090.ENSMUSP00000006286	19062
10090.ENSMUSP00000006293	CRKL_MOUSE
10090.ENSMUSP00000006301	71735
10090.ENSMUSP00000006303	69665
10090.ENSMUSP00000006311	21679
10090.ENSMUSP00000006341	3.4.-.-
10090.ENSMUSP00000006353	2.8.4.5
10090.ENSMUSP00000006362	19202
10090.ENSMUSP00000006367	3.4.21.-
10090.ENSMUSP00000006377	22642
10090.ENSMUSP00000006378	56365
10090.ENSMUSP00000006380	277743
10090.ENSMUSP00000006381	74202
10090.ENSMUSP00000006392	20706
10090.ENSMUSP00000006397	13857
10090.ENSMUSP00000006424	5B5V
10090.ENSMUSP00000006431	110935
10090.ENSMUSP00000006435	11966
10090.ENSMUSP00000006444	21745
10090.ENSMUSP00000006451	219022
10090.ENSMUSP00000006476	109637
10090.ENSMUSP00000006478	69804
10090.ENSMUSP00000006508	14598
10090.ENSMUSP00000006544	2.3.1.29
10090.ENSMUSP00000006556	17480
10090.ENSMUSP00000006557	2.3.1.199
10090.ENSMUSP00000006559	21983
10090.ENSMUSP00000006565	107995
10090.ENSMUSP00000006578	71740
10090.ENSMUSP00000006587	1.14.99.19
10090.ENSMUSP00000006611	2.5.1.16
10090.ENSMUSP00000006614	13836
10090.ENSMUSP00000006618	213649
10090.ENSMUSP00000006625	56275
10090.ENSMUSP00000006626	11474
10090.ENSMUSP00000006629	1BTN
10090.ENSMUSP00000006632	2.3.1.225
10090.ENSMUSP00000006638	142681
10090.ENSMUSP00000006660	19114
10090.ENSMUSP00000006662	67310
10090.ENSMUSP00000006664	73244
10090.ENSMUSP00000006669	2.7.11.2
10090.ENSMUSP00000006679	19152
10090.ENSMUSP00000006687	A1AG3_MOUSE
10090.ENSMUSP00000006692	192156
10090.ENSMUSP00000006697	16426
10090.ENSMUSP00000006701	69179
10090.ENSMUSP00000006704	16424
10090.ENSMUSP00000006716	22420
10090.ENSMUSP00000006718	22409
10090.ENSMUSP00000006721	12958
10090.ENSMUSP00000006742	11979
10090.ENSMUSP00000006745	13215
10090.ENSMUSP00000006749	20533
10090.ENSMUSP00000006750	51799
10090.ENSMUSP00000006760	2KLO
10090.ENSMUSP00000006762	30927
10090.ENSMUSP00000006764	P08030
10090.ENSMUSP00000006785	20504
10090.ENSMUSP00000006786	218103
10090.ENSMUSP00000006792	17086
10090.ENSMUSP00000006818	69852
10090.ENSMUSP00000006825	54631
10090.ENSMUSP00000006828	11803
10090.ENSMUSP00000006838	6.1.1.18
10090.ENSMUSP00000006851	69232
10090.ENSMUSP00000006853	1.14.11.29
10090.ENSMUSP00000006854	3.4.19.12
10090.ENSMUSP00000006856	18968
10090.ENSMUSP00000006893	210108
10090.ENSMUSP00000006898	2ZXX
10090.ENSMUSP00000006900	2CY9
10090.ENSMUSP00000006911	12567
10090.ENSMUSP00000006912	18718
10090.ENSMUSP00000006914	(N-acetylneuraminyl)-galactosylglucosylceramide
10090.ENSMUSP00000006915	17299
10090.ENSMUSP00000006949	1.14.16.4
10090.ENSMUSP00000006952	20211
10090.ENSMUSP00000006956	20210
10090.ENSMUSP00000006963	70843
10090.ENSMUSP00000006969	94179
10090.ENSMUSP00000006991	15165
10090.ENSMUSP00000007005	110460
10090.ENSMUSP00000007012	1.15.1.1
10090.ENSMUSP00000007042	24010
